Designator,Mid X,Mid Y,Rotation,Layer
D1,-9.923015,-98.77601,81.5,top
D10,-19.331512,-97.390123,81.5,top
D2,29.024562,-94.846121,107.0,top
D3,19.389885,-97.361177,98.5,top
D4,9.9873,-98.786625,98.5,top
D5,0.026005,-99.187757,90.0,top
D6,0.036005,-78.302757,180.0,top
D7,-0.003995,-87.612757,180.0,top
D8,-28.974825,-94.861326,73.0,top
J1,0.106005,-62.832757,90.0,top
Q1,-4.723995,-99.187757,270.0,top
Q10,14.704906,-98.081575,278.5,top
Q14,-24.416967,-96.233889,253.0,top
Q15,0.001005,-92.352757,180.0,top
Q16,0.016005,-73.632757,180.0,top
Q3,-33.517273,-93.472561,253.0,top
Q4,33.570726,-93.435305,287.0,top
Q5,-14.636643,-98.111999,261.5,top
Q6,4.786005,-99.167757,270.0,top
Q7,0.026005,-82.952757,180.0,top
Q8,24.482115,-96.234886,287.0,top
R1,-8.522729,-95.535503,171.0,top
R11,-17.993995,-94.042757,173.0,top
R2,28.954598,-91.138929,195.0,top
R3,1.766005,-66.875257,90.0,top
R4,19.786005,-93.752757,188.0,top
R5,10.316005,-95.072757,190.0,top
R6,0.946005,-95.652757,180.0,top
R7,3.536005,-75.322757,270.0,top
R8,3.636005,-84.872757,270.0,top
R9,-26.963995,-91.572757,165.0,top
RV1,-1.963995,-67.972757,90.0,top
