Designator,Mid X,Mid Y,Rotation,Layer
106,231.394,-114.421883,315.0,top
12V_2,235.89,-95.15,90.0,top
12V,235.89,-106.24,90.0,top
5V_2,235.92,-65.58,90.0,top
5V,235.92,-74.22,90.0,top
BT1,219.03102,-123.151162,225.0,top
C1,217.17,-98.786,90.0,top
C3,201.22,-53.485,0.0,top
C4,209.81,-53.555,0.0,top
D1,217.97,-66.04,90.0,top
D2,209.46,-115.97,270.0,top
FET,235.91,-84.05,90.0,top
FUSE,204.615,-114.8,90.0,top
MES1,191.94,-74.88,90.0,top
Q1,206.64,-86.83,0.0,top
Q2,206.67,-72.65,180.0,top
R1,205.98,-103.75,180.0,top
R10,199.326,-79.01,180.0,top
R2,223.27,-88.05,0.0,top
R3,199.391,-62.83,180.0,top
R4,199.431,-72.63,0.0,top
R5,199.401,-65.03,0.0,top
R6,199.406,-83.48,0.0,top
R7,199.341,-76.89,0.0,top
R8,199.381,-74.72,0.0,top
R9,199.3785,-81.24,0.0,top
RV1,220.77,-83.91,180.0,top
SELNOID,221.422652,-50.755114,315.0,top
SWITCH_2,223.33,-93.105,0.0,top
SWITCH,194.55,-111.82,270.0,top
U1,219.56,-108.94,0.0,top
U2,205.34,-82.054,180.0,top
U3,224.45,-64.34,270.0,top
U4,224.25,-74.69,270.0,top
VOLTAGE_CHECK,189.8675,-95.95,0.0,top
