Designator,Footprint,Quantity,Value,LCSC Part #
"106, C1",C_Disc_D3.8mm_W2.6mm_P2.50mm,2,C,
"12V_2, 12V, FET",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,3,Conn_01x03_Socket,
"5V_2, 5V",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
BT1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Battery,
"C3, C4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,C,
"D1, D2",D_DO-15_P10.16mm_Horizontal,2,D,
FUSE,fuse_socket,1,Fuse,
MES1,voltage_counter,1,Voltmeter_DC,
Q1,K15A20D,1,PMOS,
Q2,K15A20D,1,NMOS,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,R,
"R10, R6",0805,2,1K,
"R3, R4, R7",0805,3,330,
"R5, R9",0805,2,2K,
R8,0805,1,10K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer_Trim_US,
SELNOID,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
SWITCH_2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,SW_DIP_x01,
SWITCH,DS-850k,1,SW_DIP_x01,
U1,DCDC-murata-6A,1,OKL-T_6-W12N-C,
U2,XL6009,1,~,
"U3, U4",DIP-4_W7.62mm,2,EL817,
VOLTAGE_CHECK,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Conn_01x02_Socket,
