Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8, C9",0402,16,104,
CAMERA_RST,SW_PUSH_6mm_H5mm,1,SW_DIP_x01,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"J2, J3",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
J4,PinHeader_2x11_P2.54mm_Vertical,1,Conn_02x11_Odd_Even,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0805,16,22k,
"SW1, SW2, SW3",SW_PUSH_6mm_H5mm,3,LCD,
SW5,PinHeader_1x02_P2.54mm_Vertical,1,SW_DIP_x01,
"U1, U10, U11, U12, U13, U14, U15, U17, U2, U3, U4, U5, U6, U7, U8, U9",Vishay_MINICAST-3Pin,16,TSSP58P38,
U16,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,
