Designator,Mid X,Mid Y,Rotation,Layer
C1,150.07,-55.895,0.0,top
C2,217.14,-55.805,0.0,top
J1,165.171162,-77.44898,315.0,top
J3,203.568998,-77.263464,45.0,top
J4,210.895114,-70.367347,45.0,top
Q1,176.26,-66.18,0.0,top
Q3,191.37,-66.129,0.0,top
R1,201.08,-70.06,90.0,top
R2,157.86,-68.1125,90.0,top
R3,164.49,-68.23,90.0,top
R4,166.59,-68.32,90.0,top
R6,198.8,-70.05,270.0,top
R7,160.09,-68.14,90.0,top
R8,168.89,-68.35,90.0,top
R9,162.27,-68.17,270.0,top
U1,202.63,-58.24,180.0,top
U2,164.56,-58.045,180.0,top
