Designator,Footprint,Quantity,Value,LCSC Part #
"BACK, RV1, RV2",Variable_Register,3,R_Potentiometer_Trim_US,
BNO1,BNO00,1,~,
"C1, C2",C_Radial_D6.3mm_H5.0mm_P2.50mm,2,C,
D1,LED_D3.0mm_Clear,1,LED,
"D2, D3, D4, D5, D6, D7",LED_WS2812B-2020_PLCC4_2.0x2.0mm,6,NeoPixel_THT,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V_IN,
"J2, J3",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,MD,
"J4, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
"J5, J7",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Pin,
J6,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
J8,IDC-Header_2x07_P2.54mm_Vertical,1,Conn_02x07_Top_Bottom,
L3GD20H1,L3GD20OH,1,~,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,3,R,
"SW1, SW2, SW3",PinSocket_1x03_P2.54mm_Vertical,3,SW_DPST_x2,
SW4,SW_PUSH_6mm_H5mm,1,SW_Push,
U1,Teensy40,1,Teensy4.0,
U2,seeeduinoXIAO,1,SeeeduinoXIAO,
