Designator,Mid X,Mid Y,Rotation,Layer
BACK,86.58,-55.885,0.0,top
BNO1,77.67,-73.61,270.0,top
C1,98.75,-77.84,0.0,top
C2,98.63,-70.79,0.0,top
D1,96.27,-107.79,270.0,top
D2,104.3,-99.85,0.0,top
D3,107.7,-99.85,0.0,top
D4,111.08,-99.85,0.0,top
D5,104.335,-102.8,0.0,top
D6,107.685,-102.8,0.0,top
D7,111.055,-102.8,0.0,top
J1,99.127347,-122.895114,45.0,top
J2,102.114885,-53.887347,315.0,top
J3,96.750419,-59.042881,315.0,top
J4,111.704885,-63.467347,315.0,top
J5,87.29,-114.02,0.0,top
J6,115.325697,-106.286765,45.0,top
J7,105.833464,-115.858998,45.0,top
J8,117.9,-84.88,0.0,top
J9,106.432652,-68.595114,315.0,top
L3GD20H1,81.84,-75.06,90.0,top
R1,89.84,-109.515,180.0,top
R2,78.53,-73.83,90.0,top
R3,81.03,-73.82,270.0,top
RV1,79.45,-55.925,0.0,top
RV2,72.33,-55.935,0.0,top
SW1,87.325,-106.62,90.0,top
SW2,75.485,-106.965,90.0,top
SW3,75.405,-114.545,90.0,top
SW4,107.01,-86.73,270.0,top
U1,83.195,-93.01,0.0,top
U2,76.93,-73.6,270.0,top
