Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Battery,
"C2, C3",C_Disc_D3.8mm_W2.6mm_P2.50mm,2,C,
"D1, D2",D_DO-15_P10.16mm_Horizontal,2,D,
F1,fuse_socket,1,Fuse,
"J1, J2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Socket,
J3,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Conn_01x02_Socket,
"J4, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Socket,
MES1,voltage_counter,1,Voltmeter_DC,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,R,
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer_Trim_US,
SW1,DS-850k,1,SW_DIP_x01,
SW2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,SW_DIP_x01,
U1,DCDC-murata-6A,1,OKL-T_6-W12N-C,
U2,XL6009,1,~,
