Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.188837,-98.08898,45.0,top
C2,125.75,-48.26,180.0,top
C3,111.8,-65.05,270.0,top
D1,132.39,-94.22,90.0,top
D2,127.5,-94.13,90.0,top
F1,128.2,-108.6,225.0,top
J1,143.021208,-57.438288,340.0,top
J2,140.108835,-66.967024,350.0,top
J3,116.8605,-106.892,180.0,top
J4,140.600513,-77.631946,5.0,top
J5,142.060156,-86.634083,10.0,top
MES1,99.06,-74.93,90.0,top
R1,113.03,-96.52,90.0,top
R2,121.92,-82.55,0.0,top
RV1,119.39,-90.17,180.0,top
SW1,104.14,-99.06,270.0,top
SW2,119.71,-96.565,0.0,top
U1,103.055,-53.435,0.0,top
U2,123.78,-63.596,0.0,top
