Designator,Mid X,Mid Y,Rotation,Layer
D1,-26.610379,-36.536689,324.0,top
D2,9.346232,-44.223183,12.0,top
D3,26.525397,-36.598433,36.0,top
D5,-9.448981,-44.201343,348.0,top
J2,-0.020015,-64.187246,270.0,top
J3,2.647478,-56.124991,0.0,top
Q1,22.47451,-39.032037,120.0,top
Q10,30.098605,-33.50638,132.0,top
Q2,-22.565481,-38.979515,60.0,top
Q3,4.655727,-44.798747,96.0,top
Q4,13.868171,-42.851807,108.0,top
Q7,-30.176669,-33.436092,48.0,top
Q8,-13.968075,-42.819347,72.0,top
Q9,-4.760195,-44.787767,84.0,top
R8,2.072478,-50.874991,90.0,top
RV2,-2.427522,-53.724991,90.0,top
