Designator,Mid X,Mid Y,Rotation,Layer
D1,30.171845,92.51962,342.0,top
D2,15.327122,96.100466,351.0,top
D3,0.104995,97.315,0.0,top
D4_2,-15.119718,96.133316,9.0,top
D4,0.049995,86.79,0.0,top
D5,0.064995,72.115,0.0,top
D6,-29.972133,92.58451,18.0,top
J1,0.004995,45.175,270.0,top
J2,3.154995,53.155,0.0,top
Q1,-26.0545,93.762794,108.0,top
Q10,-0.025005,68.025,0.0,top
Q11,-0.040005,76.165,0.0,top
Q12,-0.040005,82.7,0.0,top
Q13,-3.945005,97.21,90.0,top
Q14,4.194995,97.225,90.0,top
Q2,19.352689,95.371757,81.0,top
Q3,-19.10343,95.396049,99.0,top
Q4,-0.055005,90.84,0.0,top
Q5,11.310559,96.630319,81.0,top
Q6,-11.065993,96.684241,99.0,top
Q7,34.033854,91.170145,72.0,top
Q8,26.287619,93.671277,72.0,top
Q9,-33.791465,91.23313,108.0,top
R1,-2.000005,62.375,180.0,top
RV1,-1.925005,56.425,90.0,top
