Designator,Mid X,Mid Y,Rotation,Layer
C1,-42.435266,-23.844151,202.5,top
C10,48.349999,8.725,0.0,top
C11,12.724,45.755,67.5,top
C12,30.097891,38.280477,45.0,top
C13,46.886715,-13.145642,337.5,top
C14,38.286175,-30.083608,315.0,top
C15,23.858433,-42.440965,292.5,top
C16,5.799984,-48.336416,270.0,top
C2,-48.330717,-8.695001,180.0,top
C3,-13.139942,-46.872433,247.5,top
C4,-30.077909,-38.271893,225.0,top
C5,-46.866734,13.154226,157.5,top
C6,-38.266194,30.092193,135.0,top
C7,-23.838452,42.44955,112.5,top
C8,-8.31,47.965,90.0,top
C9,42.455248,23.852735,22.5,top
Camera_RST1,-16.88,-25.695,90.0,top
J1,0.03,-7.115,270.0,top
J2,16.3365,0.235,0.0,top
R1,-44.763097,-21.33389,202.5,top
R10,49.54,5.515,0.0,top
R11,16.580972,46.752019,67.5,top
R12,33.209162,36.852121,45.0,top
R13,46.757719,-16.566689,337.5,top
R14,36.85782,-33.194879,315.0,top
R15,21.348174,-44.768796,292.5,top
R16,2.589982,-49.526416,270.0,top
R2,-49.520717,-5.485,180.0,top
R3,-16.56099,-46.743435,247.5,top
R4,-33.18918,-36.843536,225.0,top
R5,-46.737736,16.575273,157.5,top
R6,-36.837837,33.203463,135.0,top
R7,-21.328191,44.77738,112.5,top
R8,-5.1,49.155,90.0,top
R9,44.783079,21.342475,22.5,top
SW1,-8.15,-39.715,90.0,top
SW2,0.07,-39.725,90.0,top
SW3,8.66,-39.715,90.0,top
SW4,17.39,-23.895,90.0,top
U1,0.14,23.835,180.0,top
U10,21.031126,50.834044,67.5,top
U11,38.882692,38.92042,45.0,top
U12,50.816241,21.082168,22.5,top
U13,55.015,0.035,0.0,top
U14,50.839744,-21.016843,337.5,top
U15,38.926119,-38.868409,315.0,top
U16,21.087867,-50.801958,292.5,top
U17,0.040699,-55.000716,270.0,top
U18,0.44,0.395,270.0,top
U19,0.0,14.155,180.0,top
U2,-20.997286,-50.831201,247.5,top
U3,-38.86271,-38.911835,225.0,top
U4,-50.51926,-20.796585,202.5,top
U5,-54.995017,-0.026415,180.0,top
U6,-50.819761,21.025428,157.5,top
U7,-38.906137,38.876993,135.0,top
U8,-21.081744,50.804804,112.5,top
U9,-0.020717,55.009301,90.0,top
