Designator,Mid X,Mid Y,Rotation,Layer
C1,-21.582476,34.67172,90.0,bottom
C2,15.897524,28.50172,270.0,bottom
D1,-0.007476,54.76172,270.0,top
D10,53.710948,-10.676147,168.75,top
D11,50.596094,-20.949493,157.5,top
D12,45.536861,-30.417763,146.25,top
D13,38.727672,-38.717095,135.0,top
D14,30.4302,-45.52855,123.75,top
D15,20.963312,-50.590369,112.5,top
D16,10.690817,-53.708028,101.25,top
D17,0.007479,-54.761719,90.0,top
D18,-10.676146,-53.710946,78.75,top
D19,-20.949493,-50.596093,67.5,top
D2,10.676149,53.710948,258.75,top
D20,-30.417762,-45.536861,56.25,top
D21,-38.717094,-38.727672,45.0,top
D22,-45.528549,-30.4302,33.75,top
D23,-50.590369,-20.963312,22.5,top
D24,-53.708028,-10.690817,11.25,top
D25,-54.761718,-0.007479,0.0,top
D26,-53.710946,10.676146,348.75,top
D27,-50.596093,20.949493,337.5,top
D28,-45.53686,30.417762,326.25,top
D29,-38.727671,38.717094,315.0,top
D3,20.949495,50.596094,247.5,top
D30,-30.430199,45.528549,303.75,top
D31,-20.963312,50.590369,292.5,top
D32,-10.690816,53.708028,281.25,top
D4,30.417765,45.53686,236.25,top
D5,38.717097,38.727671,225.0,top
D6,45.528552,30.430199,213.75,top
D7,50.590371,20.963312,202.5,top
D8,53.70803,10.690816,191.25,top
D9,54.761721,0.007478,180.0,top
J1,-21.437476,26.57172,0.0,bottom
J2,-0.047476,-40.76828,270.0,bottom
J3,-40.877476,0.10172,0.0,bottom
J4,40.812524,0.05172,0.0,bottom
Q1,-5.375027,54.497295,275.625,top
Q10,54.498761,-5.360145,174.375,top
Q11,52.40587,-15.889332,163.125,top
Q12,48.299051,-25.8079,151.875,top
Q13,42.336126,-34.734685,140.625,top
Q14,34.746248,-42.326636,129.375,top
Q15,25.821092,-48.291999,118.125,top
Q16,15.903645,-52.401527,106.875,top
Q17,5.37503,-54.497293,95.625,top
Q18,-5.360144,-54.498759,84.375,top
Q19,-15.889331,-52.405869,73.125,top
Q2,5.360147,54.498761,264.375,top
Q20,-25.807899,-48.29905,61.875,top
Q21,-34.734685,-42.336126,50.625,top
Q22,-42.326636,-34.746248,39.375,top
Q23,-48.291999,-25.821092,28.125,top
Q24,-52.401526,-15.903645,16.875,top
Q25,-54.497293,-5.37503,5.625,top
Q26,-54.498759,5.360144,354.375,top
Q27,-52.405868,15.889331,343.125,top
Q28,-48.29905,25.807899,331.875,top
Q29,-42.336126,34.734685,320.625,top
Q3,15.889334,52.405869,253.125,top
Q30,-34.746247,42.32664,309.375,top
Q31,-25.821089,48.292002,298.125,top
Q32,-15.903641,52.401528,286.875,top
Q4,25.807902,48.299051,241.875,top
Q5,34.734687,42.336126,230.625,top
Q6,42.326638,34.746248,219.375,top
Q7,48.292001,25.821091,208.125,top
Q8,52.401529,15.903644,196.875,top
Q9,54.497295,5.375029,185.625,top
R1,4.192524,49.05172,270.0,top
R10,-22.644668,-43.713471,67.5,top
R11,-37.649366,-31.720242,45.0,top
R12,-46.92229,-14.897894,22.5,top
R13,-49.05172,4.192524,0.0,top
R14,-43.713471,22.644668,337.5,top
R15,-31.720242,37.649366,315.0,top
R16,-14.897894,46.92229,292.5,top
R17,-4.227476,49.06172,90.0,top
R18,9.552429,48.061624,78.75,top
R19,14.878382,46.949228,67.5,top
R2,22.644668,43.713471,247.5,top
R20,27.21768,40.747595,56.25,top
R21,31.702598,37.681152,45.0,top
R22,40.739287,27.230113,33.75,top
R23,43.709332,22.680785,22.5,top
R24,48.058707,9.567095,11.25,top
R25,49.061718,4.227475,0.0,top
R26,48.061624,-9.55243,348.75,top
R27,46.944901,-14.869429,337.5,top
R28,40.747595,-27.217679,326.25,top
R29,37.681149,-31.702597,315.0,top
R3,37.649366,31.720242,225.0,top
R30,27.230115,-40.739286,303.75,top
R31,22.680783,-43.709332,292.5,top
R32,9.567097,-48.058707,281.25,top
R33,4.227473,-49.061717,270.0,top
R34,-9.552426,-48.061625,258.75,top
R35,-14.869431,-46.9449,247.5,top
R36,-27.217679,-40.747595,236.25,top
R37,-31.702599,-37.681147,225.0,top
R38,-40.739286,-27.230115,213.75,top
R39,-43.709333,-22.680781,202.5,top
R4,46.922291,14.897894,202.5,top
R40,-48.058707,-9.567097,191.25,top
R41,-49.061717,-4.227472,180.0,top
R42,-48.061625,9.552426,168.75,top
R43,-46.9449,14.869432,157.5,top
R44,-40.747595,27.217679,146.25,top
R45,-37.681147,31.7026,135.0,top
R46,-27.230115,40.739286,123.75,top
R47,-22.680781,43.709334,112.5,top
R48,-9.567097,48.058707,101.25,top
R5,49.051721,-4.192524,180.0,top
R6,43.713472,-22.644668,157.5,top
R7,31.720243,-37.649367,135.0,top
R8,14.897894,-46.922291,112.5,top
R9,-4.192524,-49.05172,90.0,top
RV1,-0.007476,49.00172,0.0,top
RV10,-18.745239,-45.274547,157.5,top
RV11,-34.644162,-34.654735,135.0,top
RV12,-45.268825,-18.759054,112.5,top
RV13,-49.00172,-0.007477,90.0,top
RV14,-45.274547,18.745239,67.5,top
RV15,-34.654735,34.644162,45.0,top
RV16,-18.759054,45.268825,22.5,top
RV2,18.745239,45.274547,337.5,top
RV3,34.644162,34.654735,315.0,top
RV4,45.268825,18.759054,292.5,top
RV5,49.00172,0.007477,270.0,top
RV6,45.274547,-18.745239,247.5,top
RV7,34.654735,-34.644162,225.0,top
RV8,18.824127,-45.231917,202.5,top
RV9,0.007477,-49.00172,180.0,top
U1,0.092524,36.84172,90.0,top
U2,0.042524,36.40172,0.0,bottom
