Designator,Mid X,Mid Y,Rotation,Layer
D1,-14.093399,52.119509,74.0,top
D2_2,8.820089,50.665779,106.0,top
D2,18.92295,53.562727,106.0,top
D3,28.319517,58.325161,122.0,top
D4,-23.966202,55.92571,58.0,top
D7,-32.879189,61.495161,58.0,top
J3,0.0775,47.7339,270.0,top
Q1,32.850182,61.171949,122.0,top
Q15,-8.992312,50.667324,74.0,top
Q16,-19.095173,53.564272,74.0,top
Q17,13.893726,52.119509,106.0,top
Q3,23.937196,55.602498,122.0,top
Q4,-28.434836,58.6939,58.0,top
R1_2,4.815164,51.9139,286.0,top
R1,-14.064836,55.7139,345.0,top
R2,-30.240992,64.000349,148.0,top
R4,-4.444836,52.5964,90.0,top
R5,19.136571,57.170072,195.0,top
R6,25.075164,60.4139,33.0,top
R7,-21.254836,58.3839,145.0,top
RV2,-0.084836,52.3139,180.0,top
