Designator,Mid X,Mid Y,Rotation,Layer
D1,51.6982,-0.041306,270.0,top
D10,-47.747101,19.822208,67.5,top
D11,-36.526939,36.585356,45.0,top
D12,-19.745882,47.778717,22.5,top
D13,0.041307,51.6982,0.0,top
D14,19.822207,47.747102,337.5,top
D15,36.585356,36.52694,315.0,top
D16,47.778716,19.745883,292.5,top
D2,47.747101,-19.822206,247.5,top
D3,36.52694,-36.585355,225.0,top
D4,19.745882,-47.778715,202.5,top
D5,-0.041306,-51.698199,180.0,top
D6,-19.822207,-47.7471,157.5,top
D7,-36.585355,-36.526939,135.0,top
D8,-47.778716,-19.745881,112.5,top
D9,-51.698199,0.041307,90.0,top
J1,15.341307,28.9232,0.0,bottom
J2,-25.688693,27.1982,90.0,top
J3,28.221307,27.0382,90.0,top
J6,-0.898693,-46.8018,90.0,top
Q1,-41.605813,-31.506482,135.0,top
Q10,-31.506482,41.605814,45.0,top
Q11,-13.154002,50.509163,22.5,top
Q12,-26.305427,45.061665,22.5,top
Q13,-7.058693,51.6982,0.0,top
Q14,7.141307,51.6982,0.0,top
Q15,26.381752,45.030049,337.5,top
Q16,13.262662,50.464154,337.5,top
Q17,41.605814,31.506481,315.0,top
Q18,31.564898,41.547398,315.0,top
Q19,45.061664,26.305427,292.5,top
Q2,-31.564898,-41.547398,135.0,top
Q20,50.495768,13.186337,292.5,top
Q21,51.698199,-7.141307,270.0,top
Q22,51.6982,7.058693,270.0,top
Q23,45.030047,-26.381751,247.5,top
Q24,50.464153,-13.262662,247.5,top
Q25,31.50648,-41.605813,225.0,top
Q26,41.547398,-31.564898,225.0,top
Q27,13.186336,-50.495767,202.5,top
Q28,26.305426,-45.061664,202.5,top
Q29,7.058693,-51.6982,180.0,top
Q3,-45.061665,-26.305426,112.5,top
Q30,-7.141307,-51.698199,180.0,top
Q31,-13.262663,-50.464153,157.5,top
Q32,-26.381751,-45.030048,157.5,top
Q4,-50.495769,-13.186338,112.5,top
Q5,-51.6982,-7.058693,90.0,top
Q6,-51.6982,7.141306,90.0,top
Q7,-45.03005,26.381752,67.5,top
Q8,-50.464154,13.262663,67.5,top
Q9,-41.547398,31.564898,45.0,top
R1,49.158199,-3.541307,0.0,top
R10,-49.1582,3.541306,180.0,top
R11,-44.061056,22.083769,157.5,top
R12,-32.256015,37.264178,135.0,top
R13,-15.540288,46.771454,112.5,top
R14,3.541307,49.1582,90.0,top
R15,22.08377,44.061055,67.5,top
R16,37.264179,32.256014,45.0,top
R17,46.771454,15.540287,22.5,top
R2,44.061054,-22.083769,337.5,top
R20,-46.401056,-23.071848,22.5,top
R21,-51.6982,-3.558693,0.0,top
R22,-49.124762,16.496241,337.5,top
R23,-39.072524,34.039772,315.0,top
R24,-23.071848,46.401056,292.5,top
R25,-3.558693,51.6982,270.0,top
R26,16.496241,49.124762,247.5,top
R27,34.039772,39.072524,225.0,top
R28,46.401056,23.071848,202.5,top
R29,51.6982,3.558693,180.0,top
R3,32.256013,-37.264178,315.0,top
R30,49.124762,-16.496241,157.5,top
R31,39.072524,-34.039772,135.0,top
R32,23.071848,-46.401056,112.5,top
R33,3.558693,-51.6982,90.0,top
R34,-16.496241,-49.124762,67.5,top
R4,15.540289,-46.771454,292.5,top
R5,-34.039772,-39.072524,45.0,top
R6,-3.528693,-50.9143,270.0,top
R7,-22.083769,-44.061056,247.5,top
R8,-37.264178,-32.256015,225.0,top
R9,-46.771454,-15.540289,202.5,top
RV1,-27.428324,-38.542194,135.0,top
RV10,40.089926,25.111979,292.5,top
RV11,46.6482,7.858693,270.0,top
RV12,46.104709,-10.591008,247.5,top
RV13,38.542194,-27.428324,225.0,top
RV14,25.111979,-40.089926,202.5,top
RV15,7.858693,-46.6482,180.0,top
RV16,-10.591008,-46.104709,157.5,top
RV2,-40.089926,-25.111979,112.5,top
RV3,-46.6482,-7.858693,90.0,top
RV4,-46.104709,10.591008,67.5,top
RV5,-38.542194,27.428324,45.0,top
RV6,-25.111979,40.089926,22.5,top
RV7,-7.858693,46.6482,0.0,top
RV8,10.591008,46.104709,337.5,top
RV9,27.428324,38.542194,315.0,top
U1,-0.058693,35.5982,270.0,top
U2,-0.538693,34.5782,0.0,bottom
