Designator,Mid X,Mid Y,Rotation,Layer
D1,25.258378,-36.170501,215.0,top
D2,-9.227257,-43.14103,168.0,top
D3,-25.350279,-36.106151,145.0,top
D5,9.117519,-43.164356,192.0,top
J2,-0.019996,-64.159724,270.0,top
J3,2.647497,-56.097469,0.0,top
Q1,3.453431,-44.317178,102.0,top
Q10,-3.654746,-44.243717,78.0,top
Q2,14.656765,-41.905166,102.0,top
Q3,20.495,-39.444815,125.0,top
Q4,29.865275,-32.847054,125.0,top
Q7,-30.056299,-32.749922,55.0,top
Q8,-20.651609,-39.298533,55.0,top
Q9,-14.870555,-41.890393,78.0,top
R8,2.072497,-50.847469,90.0,top
RV2,-2.427503,-53.697469,90.0,top
