Designator,Mid X,Mid Y,Rotation,Layer
D1,0.005986,69.131022,90.0,top
D2,0.005986,86.131022,90.0,top
D3,-28.651539,93.855146,197.0,top
D4,10.298246,97.589166,174.0,top
D5,28.729929,93.83118,163.0,top
D6,-10.216723,97.597734,186.0,top
J1,0.004999,45.175002,270.0,top
J2,3.120986,52.981022,0.0,top
Q1,-34.100344,92.147452,107.0,top
Q10,0.015986,80.441022,0.0,top
Q11,-0.034014,74.841022,0.0,top
Q12,0.000986,63.421022,0.0,top
Q2,-23.187323,95.546639,107.0,top
Q3,-15.891263,96.961096,96.0,top
Q4,-4.530149,98.215528,96.0,top
Q5,4.615345,98.146243,84.0,top
Q6,15.989002,97.011154,84.0,top
Q7,23.257734,95.462371,73.0,top
Q8,34.20584,92.17794,73.0,top
Q9,-0.034014,91.841022,0.0,top
R1,2.350986,57.971022,90.0,top
RV1,-1.989014,55.151022,90.0,top
